lat,lon,limit,deck,direct
24.7405,121.16245,50,,北往南
24.74368,120.95915,50,,北往南
24.76755,120.99763,50,,北往南
24.74614,121.00037,40,,南往北
24.75126,121.01968,40,,北往南
24.72859,121.03269,40,,南往北
24.69473,120.9788,60,,西往東
24.69997,120.99114,60,,南往北
24.70087,120.99424,60,,北往南
24.69168,121.03163,60,,北往南
24.70351,121.04712,60,,南北雙向(區間測速)
24.522364,120.792854,60,,南向北
24.578798,120.80374,60,,東向西
24.557383,120.81373,50,,南北雙向
24.590336,120.81526,50,,東向西
24.544853,120.83142,90,,東西雙向
24.551407,120.83144,70,,東西雙向
24.4435,120.64825,60,,北向南
24.37995,120.68583,60,,西向東
24.376858,120.689186,60,,東向西
24.494154,120.67632,90,,南向北(區間測速) 北向南(區間測速)
24.496456,120.69913,60,,東向西
24.670029,120.86368,60,,東西雙向
24.676628,120.86768,50,,北向南
24.717684,120.86775,80,,南北雙向
24.692722,120.87718,60,,東向西
24.69521,120.885445,60,,北向南
24.720804,120.90529,60,,東西雙向
24.712439,120.92275,60,,南北雙向
24.65347,120.88288,60,,南向北
24.69416,120.88549,60,,南向北
24.674002,120.89102,60,,南向北
24.692188,120.90152,50,,東西雙向
24.687279,120.906876,60,,北向南
24.690542,120.91287,60,,南向北
24.690813,120.9131,60,,北向南
24.674433,120.91392,60,,北向南
24.686438,120.92912,50,,東向西
24.685402,120.93603,50,,東向西
24.67302,120.94552,60,,東西雙向
24.680124,120.94835,50,,西向東
24.681976,120.95703,50,,東向西
24.610762,120.75758,50,,北向南
24.60738,120.7674,60,,西向東
24.637379,120.78327,80,,南向北
24.594868,120.78955,60,,西向東
24.606695,120.79818,90,,東西雙向
24.657776,120.81203,80,,南北雙向
24.607538,120.832245,60,,北向南
24.338886,120.82357,60,,南向北
24.3246,120.823845,60,,北向南
24.348303,120.8283,60,,北向南
24.37388,120.842674,50,,南向北
24.409588,120.86529,60,,南向北
24.445524,120.87404,60,,北向南
24.46855,120.81822,80,,東西雙向
24.529028,120.81877,60,,北向南
24.512255,120.835365,60,,北向南
24.494358,120.78141,60,,南北雙向
24.639002,120.980835,60,,東向西
24.576845,120.85494,50,,北向南
24.579777,120.86359,60,,南向北
24.345043,120.744514,60,,東西雙向(區間測速)
24.378527,120.74986,60,,北向南
24.324047,120.77345,60,,東西雙向
24.632866,120.85721,60,,南北雙向(區間測速)
24.619045,120.949905,60,,南向北
24.621752,120.95179,60,,南向北
24.614372,120.95191,60,,南向北
24.61412,120.952415,60,,南北雙向(區間測速)
24.61411,120.95443,60,,北向南
24.677471,120.95567,60,,東西雙向
24.665936,120.96546,60,,南向北
24.461445,120.88591,60,,南北雙向
24.481611,120.8961,60,,南向北
24.52958,120.916466,60,,北向南
24.5422,120.921745,60,,北向南
24.068613,120.51788,60,,北向
24.092823,120.538185,70,,南向
24.093788,120.54993,50,,北向
24.09833,120.5571,70,,南北雙向
24.088907,120.56561,50,,南向
24.093752,120.57575,70,,南向
24.098677,120.57624,70,,北向
24.092712,120.58576,70,,北向
24.040432,120.59212,40,,南北雙向
24.063442,120.59272,70,,南向
24.0745,120.59287,70,,南北雙向
24.075989,120.41893,70,,西向
24.081823,120.42038,90,,北向(區間測速)
24.092236,120.44827,70,,南北雙向
24.074348,120.46232,60,,東西雙向
24.055868,120.468925,50,,東向
24.129986,120.4901,60,,南向
24.108746,120.49447,60,,東西雙向
24.149263,120.509766,60,,東西雙向
24.136038,120.50987,60,,東向
24.086985,120.51911,60,,南北雙向
24.09933,120.52414,60,,西向
24.114113,120.52612,60,,南北雙向
24.13864,120.44376,90,,南向
24.134869,120.46483,70,,北向
24.178015,120.499855,60,,南北雙向
24.167889,120.5143,50,,南北雙向
24.0196,120.40004,70,,北向
24.047768,120.42017,70,,南北雙向
24.04683,120.46519,60,,東西雙向
24.019592,120.47051,60,,東西雙向
24.01645,120.48859,60,,南北雙向
24.049767,120.494255,60,,東西雙向
24.077213,120.497154,50,,東西雙向
24.051252,120.533264,70,,南北雙向
24.019365,120.54701,70,,南北雙向
24.013025,120.55131,70,,南北雙向
24.0214,120.55818,70,,南北雙向
24.031086,120.57284,70,,南北雙向
24.03417,120.593895,40,,南北雙向
23.983116,120.61787,50,,南向
24.043566,120.622215,70,,南北雙向
23.970097,120.55259,60,,東西雙向
23.9462,120.56328,60,,南向
23.971638,120.565056,50,,南向
23.956444,120.5667,60,,南北雙向
23.959564,120.566765,60,,南北雙向
23.972256,120.57107,50,,東向
23.962563,120.57383,50,,北向
23.948732,120.575584,50,,東西雙向
23.926346,120.57982,70,,東西雙向
23.956186,120.48668,60,,東西雙向
23.863333,120.574715,60,,西向
23.857761,120.59574,60,,南向
23.843128,120.59652,50,,南北雙向
23.853165,120.59756,60,,南北雙向
23.995346,120.55999,70,,南北雙向
23.978357,120.57151,60,,北向
23.990818,120.58485,40,,南北雙向
24.015472,120.45266,50,,東西雙向
24.000069,120.47836,60,,南北雙向
23.950142,120.51747,60,,東西雙向
23.962378,120.536415,60,,南向
23.966743,120.54141,50,,西向
23.95197,120.550514,60,,東西雙向
23.95708,120.56222,50,,南北雙向
23.910095,120.54227,70,,南向
23.911493,120.5705,70,,南向
23.935686,120.576904,50,,南北雙向
23.893694,120.58381,60,,南北雙向
23.918741,120.58451,60,,南向
23.79639,120.63256,60,,南北雙向
23.80027,120.654915,50,,東向
23.877333,120.51073,60,,東西雙向
23.87649,120.519936,50,,南北雙向
23.869879,120.554985,60,,西向
23.889494,120.359566,50,,南北雙向
23.918367,120.411224,60,,東西雙向
23.93027,120.4359,60,,雙向
23.891409,120.52863,50,,南向
23.89537,120.533394,70,,北向
23.896322,120.53388,70,,南向
23.850615,120.44746,60,,東西雙向
23.89789,120.47002,70,,南北雙向
23.884268,120.4732,70,,南北雙向
23.888147,120.487366,60,,東向
23.910868,120.340614,60,,東西雙向
23.96108,120.38227,60,,西向
23.85626,120.30887,50,,東向
23.847757,120.40027,70,,南向
23.866404,120.43808,70,,南北雙向
23.826359,120.46372,50,,南北雙向
23.8568,120.49853,70,,南北雙向
23.858393,120.50349,70,,北向
23.8635,120.50838,70,,南北雙向
23.91971,120.637566,50,,南北雙向
23.930708,120.66728,60,,南北雙向
23.928667,120.67903,60,,南北雙向
23.90651,120.67985,60,,南北雙向
23.93615,120.686226,60,,南北雙向
23.888296,120.68987,60,,南北雙向
23.907316,120.690674,50,,南北雙向
23.970133,120.95306,50,,東西雙向
23.9741,120.97911,50,,東西雙向
23.963615,120.65508,70,,南北雙向
23.986898,120.67889,60,,東西雙向
23.974607,120.68033,60,,南北雙向
23.974297,120.68397,50,,東西雙向
23.98525,120.68671,60,,東西雙向
24.004614,120.69453,60,,南北雙向
23.996405,120.722466,50,,南北雙向
23.759756,120.682755,60,,東西雙向
23.789066,120.70938,60,,南北雙向
23.814339,120.75099,50,,東西雙向
23.822039,120.78453,70,,東西雙向
23.842667,120.69959,60,,南北雙向
23.832108,120.71021,60,,東西雙向
23.732643,120.76845,50,,南北雙向
23.894646,120.71774,50,,東西雙向
23.94172,120.92913,60,,南北雙向(區間測速)
24.01532,120.84806,70,,南北雙向
23.807232,120.85223,50,,北往南
23.662935,120.87654,50,,南向北
24.0022,121.083916,50,,東西雙向
23.691448,120.50823,70,,西向東
23.750086,120.50892,60,,南北雙向
23.715603,120.53039,50,,北向南
23.69978,120.532234,50,,東向西
23.695944,120.53308,60,,西向東
23.696798,120.53748,60,,西向東
23.697744,120.542336,60,,西向東
23.718184,120.542625,60,,東西雙向
23.699762,120.54649,60,,南向北
23.717327,120.55062,60,,東向西
23.680202,120.55256,60,,南北雙向
23.702805,120.55346,70,,南向北
23.712954,120.55724,50,,南北雙向
23.73015,120.56408,50,,西向東
23.717222,120.568954,60,,南向北
23.722673,120.5833,50,,南北雙向
23.674978,120.450134,100,,東向西
23.673025,120.45189,100,,西向東
23.67784,120.46926,50,,北往南
23.667603,120.47478,50,,北向南
23.676558,120.47628,50,,南向北
23.68877,120.47726,50,,南往北
23.69333,120.479965,60,,南向北
23.68612,120.48054,60,,北向南
23.679546,120.480835,60,,南向北
23.68034,120.48086,60,,北向南
23.68357,120.49234,60,,西向東
23.683113,120.49306,50,,南向北
23.683903,120.49349,60,,東向西
23.708435,120.385086,70,,東向西
23.736464,120.396,60,,北往南
23.717049,120.42356,60,,西向東
23.719143,120.43605,60,,西向東
23.717178,120.44133,60,,東向西
23.709593,120.44583,60,,西向東
23.735708,120.458275,60,,東向西
23.727798,120.488884,70,,南往北
23.747486,120.425934,50,,南北雙向
23.785646,120.43022,60,,東西雙向
23.778845,120.44506,60,,南向北
23.806501,120.45571,50,,東西雙向
23.795057,120.46766,50,,東西雙向
23.790707,120.47045,50,,北往南
23.789797,120.47077,50,,南往北
23.706821,120.351364,40,,東西雙向
23.701073,120.35221,70,,西向東
23.661173,120.36396,60,,南北雙向
23.670492,120.38855,60,,南北雙向
23.679155,120.395,50,,南向北
23.583763,120.2994,50,,北向南
23.592915,120.30209,50,,南北雙向
23.589163,120.307785,60,,南往北
23.596136,120.32356,60,,南北雙向
23.623583,120.54913,50,,南北雙向
23.596443,120.59753,40,,東西雙向
23.658314,120.45549,60,,南北雙向
23.63372,120.46827,70,,南向北
23.643394,120.47026,70,,北向南
23.742592,120.494446,60,,南北雙向
23.757978,120.49661,60,,北向南
23.757647,120.496765,60,,南向北
23.766708,120.506424,60,,北向南
23.770504,120.644,60,,南向北
23.800879,120.38286,60,,南北雙向
23.755796,120.40996,50,,南北雙向
23.767534,120.33265,60,,東西雙向
23.792048,120.2346,60,,西向東
